user,length_years,missing_samples_pct,p1,p2,p3,p4,p5,p6,cnae,contracted_tariff,zip_code,municipality,num_active_periods,tariff_fixture,cnae_2d,sector
a009f2d737c53d98aa72706ecb55c9dcd825fbaebdf28f9133ec8d61b9efa6d5,2.71868583162218,0.0167841557569654,4.6,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a00aa0ce977af28c4fe15bd1b0bf37e2737ba27f70286bc3ae2e7567f6a86b85,3.02532511978097,0.0226244343891403,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a00ab02c7435bf0cbf49aaf9792d2031713b3b6346b00df120b88d8ef5cad15e,1.75496235455168,0.0325013000520021,4.0,4.0,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a00c1cf0973d18d402ed379d36b1b1c2b605eb2d55aef89629c41a564af5f483,5.01574264202601,0.29339519650655,4.6,4.6,,,,,9820,2_active_periods,20304.0,Irun,2,1-1-0-0-0-0,98,Household production
a01b3d4212c84c45c952623b5cf07cd95968e5f9c8e36b3083597417c0c49618,2.4476386036961,0.023303504847129,2.4,3.3,,,,,9820,2_active_periods,31014.0,Pamplona/Iruna,2,1-1-0-0-0-0,98,Household production
a01bb97513df2c5f1a92c4babfd02c183a71cc2d32aa3d4bc619541b643add25,1.05954825462012,0.0215331610680448,3.3,3.3,,,,,9820,2_active_periods,20011.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
a01f6f298f363c06d1aa9aab343b11627c98273f8384753e1f074001adcc9adb,2.19575633127995,0.0259767248545303,3.45,3.45,,,,,9820,2_active_periods,48009.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a0212e4e7451934086effa307f608e7ac5289c9eeb3e60afa2ea39572c913dd1,5.01300479123888,0.0728199526670308,5.5,5.5,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a022660b6edb9d9b304f4b49a738e0b704bb2aeb0f76e6ccc703084710d9a34e,2.09171800136893,0.0218150087260035,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a026026596923b9c45fbae9853d55223b6b5549d9d31a8da70857fc4571691d1,5.01300479123888,0.348170398689241,4.4,4.4,,,,,9329,2_active_periods,,,2,1-1-0-0-0-0,93,Sports and recreation
a02b217f094676933c875d7388a2a213df5ddb388a5f264d8e670b76dd56318a,1.80698151950719,0.0252525252525253,3.2,3.2,,,,,9820,2_active_periods,48991.0,Getxo,2,1-1-0-0-0-0,98,Household production
a02be7af3c2785dc6064288f50f4a1a0d1eca47f10dbdd07475e954d8a09fc03,4.10677618069815,0.0222222222222222,5.75,5.75,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a031c1098ee686810b2bddd1d0709e6994e2db18f48895aaa1acba4fc5baef90,1.4757015742642,1.49969078540507,3.45,,,,,,9820,1_active_periods,48004.0,Bilbao,1,1-0-0-0-0-0,98,Household production
a032c0e04180755d77b3c9046b45a7700ef39c5721eab9c36f53cceb877143ec,4.66803559206023,0.0219941348973607,2.2,2.2,,,,,9820,2_active_periods,20017.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
a032f6f10d28602727ea1f0a727dfa6fe01993f5245020c2f9fe0d2d526b3d10,3.20876112251882,0.0248862343572241,3.5,3.5,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0346dd780144032a3d56b5d5cd84369fa063609caa5852fc9609f4a3df0bdd5,5.01300479123888,0.220735481521937,4.4,4.4,,,,,9820,2_active_periods,48015.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a0358a9361929ed741aa2e2eb4ec484de23a502cea8196fe56671fcdc8410718,2.60369609856263,0.021906764808973,4.6,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a038b6c74875f63537b789b4946c4a71e7fa7088cb0d058b3c97b853a8ef46ef,3.00068446269678,0.0190085158150852,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a03be9229b172532d97bc9f8fbb76e460d6462f873ecd77afb87e8565638b823,1.6974674880219,0.0268817204301075,18.0,22.0,22.0,22.0,22.0,25.0,4520,6_active_periods,,,6,1-1-1-1-1-1,45,Vehicle trade and repair
a03d0af1276e446c9ac8050a6f6ca5adff1c83f43875232e13542a6cecde7527,5.01300479123888,0.122883670125614,3.45,3.45,,,,,9820,2_active_periods,48009.0,Bilbao,2,1-1-0-0-0-0,98,Household production
