sector,date,avg_kwh,std_kwh,n_users
Household production,2020-08-28,0.2263197808646752,0.33898062707634613,12922
Household production,2020-08-29,0.22170164738430578,0.3083694229200592,12922
Household production,2020-08-30,0.22573740520043334,0.2905937421590884,12922
Household production,2020-08-31,0.22791613301604494,0.3337214176332972,12922
Household production,2020-09-01,0.22631686432698755,0.32320404608549297,12922
Household production,2020-09-02,0.22368543149925188,0.32313964047866606,12922
Household production,2020-09-03,0.22234212808904708,0.327851107170543,12922
Household production,2020-09-04,0.21728243499458286,0.3382380318903676,12922
Household production,2020-09-05,0.2189536465588402,0.317196048274871,12922
Household production,2020-09-06,0.2305722685471805,0.2974131132916671,12922
Household production,2020-09-07,0.23345961022545525,0.332222765802907,12922
Household production,2020-09-08,0.23113932150595878,0.32957664080995763,12922
Household production,2020-09-09,0.22946473714079346,0.3317732592417613,12922
Household production,2020-09-10,0.22829748684414172,0.330922714595877,12922
Household production,2020-09-11,0.22339834358716398,0.3269603172711885,12922
Household production,2020-09-12,0.21763987127895576,0.31625015966916675,12922
Household production,2020-09-13,0.22295810923231696,0.2972774195940803,12922
Household production,2020-09-14,0.23881983084403854,0.3651034581368481,12922
Household production,2020-09-15,0.23961473165918587,0.36334351794158387,12922
Household production,2020-09-16,0.23693194745395446,0.35171401468374885,12922
Household production,2020-09-17,0.2359592571454367,0.35447157888571135,12922
Household production,2020-09-18,0.23135551449723982,0.33244885384719314,12922
Household production,2020-09-19,0.23328675417891967,0.315406863178369,12922
Household production,2020-09-20,0.2346361889284424,0.29212908403553667,12922
Household production,2020-09-21,0.23921749729144093,0.33443164715722673,12922
Household production,2020-09-22,0.23379569081153587,0.3307442180709417,12922
Household production,2020-09-23,0.23786868809007888,0.33937836315705455,12922
Household production,2020-09-24,0.2360433337202703,0.33546703417742385,12922
Household production,2020-09-25,0.23870195209719855,0.3373439496265462,12922
Household production,2020-09-26,0.2487810371846463,0.326104180436081,12922
Household production,2020-09-27,0.2500211573930764,0.3077296290431037,12922
Household production,2020-09-28,0.2440968277614404,0.34246856642400286,12922
Household production,2020-09-29,0.24211150073518029,0.3495239500282936,12922
Household production,2020-09-30,0.23859622156012997,0.34476744392288516,12922
Household production,2020-10-01,0.24377364023886908,0.35600125138883487,12922
Household production,2020-10-02,0.2465319029561987,0.3533634982009308,12922
Household production,2020-10-03,0.26565012510963215,0.34350241007164567,12922
Household production,2020-10-04,0.2746062996569158,0.33117750403792884,12922
Household production,2020-10-05,0.2577469125651344,0.38094201866675614,12922
Household production,2020-10-06,0.2547955150776453,0.3615833690016947,12922
Household production,2020-10-07,0.2540093848346489,0.3656102602920996,12922
Household production,2020-10-08,0.2443858971134499,0.36321684313037944,12922
Household production,2020-10-09,0.24273683285611097,0.3627174037385075,12922
Household production,2020-10-10,0.24473795981014287,0.34785952923936986,12922
Household production,2020-10-11,0.24773068216994268,0.3371485978913095,12922
Household production,2020-10-12,0.25999368486560387,0.3325698435840208,12922
Household production,2020-10-13,0.2643708162436155,0.390881510528547,12922
Household production,2020-10-14,0.27312383435226745,0.3947489647037068,12922
Household production,2020-10-15,0.2776944487437445,0.42236948725135603,12922
Household production,2020-10-16,0.27208757996698135,0.42429666175187586,12922
Household production,2020-10-17,0.2689152430609296,0.3716330333785842,12922
Household production,2020-10-18,0.2719669378450188,0.34589847889247743,12922
Household production,2020-10-19,0.2640061829309188,0.3813982863112858,12922
Household production,2020-10-20,0.2626607578161275,0.366586777864283,12922
Household production,2020-10-21,0.251703985128721,0.3541845172056187,12922
Household production,2020-10-22,0.252037500644895,0.37242156523435926,12922
Household production,2020-10-23,0.2484311477841407,0.35137993874195583,12922
Household production,2020-10-24,0.2516919320409637,0.3349116869882913,12922
Household production,2020-10-25,0.2892109623553285,0.3418651255607682,12922
Household production,2020-10-26,0.2761201955321673,0.4047882964358884,12922
Household production,2020-10-27,0.2764411178610122,0.4053012405681831,12922
Household production,2020-10-28,0.27191958374176683,0.39565673638563825,12922
Household production,2020-10-29,0.26287821641386777,0.38180675849100176,12922
Household production,2020-10-30,0.25388450843952604,0.36602778221329124,12922
Household production,2020-10-31,0.25856875924349515,0.3334097005438056,12922
Household production,2020-11-01,0.2636196651060207,0.3150751780966559,12922
Household production,2020-11-02,0.25849006915424166,0.3514974130708241,12922
Household production,2020-11-03,0.26921916756951964,0.3704401310141175,12922
Household production,2020-11-04,0.27686916961168717,0.38976223539930877,12922
Household production,2020-11-05,0.2720132724767408,0.37934279343453364,12922
Household production,2020-11-06,0.256475670798294,0.3601095675596706,12922
Household production,2020-11-07,0.2832474236444307,0.33330231448112163,12922
Household production,2020-11-08,0.27601815057008716,0.32312629471891663,12922
Household production,2020-11-09,0.26228981743022234,0.3533453586695667,12922
Household production,2020-11-10,0.2690382987024712,0.3746600203823984,12922
Household production,2020-11-11,0.2694054406567611,0.3655603875509961,12922
Household production,2020-11-12,0.2652892934530258,0.3611537571763169,12922
Household production,2020-11-13,0.2611509392895836,0.34868908004442023,12922
Household production,2020-11-14,0.27382455469999484,0.34033186860989884,12922
Household production,2020-11-15,0.2853293108007016,0.32671563928089215,12922
Household production,2020-11-16,0.27023009692772015,0.36281283598505176,12922
Household production,2020-11-17,0.2710760089382448,0.380447417905971,12922
Household production,2020-11-18,0.26505929487179486,0.35730285584775046,12922
Household production,2020-11-19,0.278489710700098,0.39192331484469073,12922
Household production,2020-11-20,0.27601898087241394,0.3815443550570858,12922
Household production,2020-11-21,0.2981118925088995,0.3742622001064039,12922
Household production,2020-11-22,0.307210116468039,0.3748877252469348,12922
Household production,2020-11-23,0.30391878353454055,0.4375197850212845,12922
Household production,2020-11-24,0.3028734200072228,0.43488669009152636,12922
Household production,2020-11-25,0.2959475958313986,0.4103442972244719,12922
Household production,2020-11-26,0.2888205370040757,0.40265547349381037,12922
Household production,2020-11-27,0.2824999661430119,0.38517384627253215,12922
Household production,2020-11-28,0.2933467407006139,0.37175072228918804,12922
Household production,2020-11-29,0.2972721279600681,0.3613805452670779,12922
Household production,2020-11-30,0.30172749800082543,0.40859787812261733,12922
Household production,2020-12-01,0.30517957746478874,0.41554039889338945,12922
Household production,2020-12-02,0.31520232613630494,0.430233837617453,12922
Household production,2020-12-03,0.31554446228653976,0.43298300974430887,12922
Household production,2020-12-04,0.3218774086828664,0.4493636401642354,12922
Household production,2020-12-05,0.36063175366300365,0.47919049049387563,12922
Household production,2020-12-06,0.36466877869782793,0.46909592606053424,12922
Household production,2020-12-07,0.35328586744827944,0.4677536340199854,12922
Household production,2020-12-08,0.3592627463498942,0.452659854456835,12922
Household production,2020-12-09,0.3443714192204509,0.49258669609537953,12922
Household production,2020-12-10,0.33403939502399005,0.47640741117531366,12922
Household production,2020-12-11,0.31841666021771653,0.4404304455234965,12922
Household production,2020-12-12,0.3283362111773203,0.42492343359485973,12922
Household production,2020-12-13,0.3133530010189341,0.3963486131777069,12922
Household production,2020-12-14,0.3000090075710674,0.41505217022272256,12922
Household production,2020-12-15,0.2972061165067327,0.41534383298476596,12922
Household production,2020-12-16,0.30217278833255945,0.42426748318111585,12922
Household production,2020-12-17,0.2968252447376567,0.42157303970525334,12922
Household production,2020-12-18,0.29998354872826705,0.43940364374886653,12922
Household production,2020-12-19,0.30998176236908626,0.4251509245978501,12922
Household production,2020-12-20,0.309556686271475,0.41103074210271995,12922
Household production,2020-12-21,0.3012736079941185,0.42660145777942565,12922
Household production,2020-12-22,0.29043470276788935,0.40324984891314575,12922
Household production,2020-12-23,0.30343173141412577,0.4087404690121224,12922
Household production,2020-12-24,0.3216315069906619,0.42834216506226047,12922
Household production,2020-12-25,0.3065014655239127,0.43120503607008054,12922
Household production,2020-12-26,0.3192673847572615,0.4593491351626831,12922
Household production,2020-12-27,0.33626606917143886,0.4643247725552702,12922
Household production,2020-12-28,0.35400057879327246,0.5068468619647049,12922
Household production,2020-12-29,0.3567387498065315,0.5148541943040287,12922
Household production,2020-12-30,0.36399792666253933,0.5310174287312331,12922
Household production,2020-12-31,0.3666940827658257,0.5168967335637893,12922
Household production,2021-01-01,0.34052745640509724,0.4972509602624945,12922
Household production,2021-01-02,0.3582874313186813,0.5415513770059972,12922
Household production,2021-01-03,0.37233635950317284,0.5293832847551311,12922
Household production,2021-01-04,0.38539521584636016,0.588078803024643,12922
Household production,2021-01-05,0.381753287352319,0.5777058597193336,12922
Household production,2021-01-06,0.36568493331785584,0.5394803173848144,12922
Household production,2021-01-07,0.3835312161430119,0.6100982951633407,12922
Household production,2021-01-08,0.38427072208894386,0.6232775786484482,12922
Household production,2021-01-09,0.4038463279678068,0.5984430507161225,12922
Household production,2021-01-10,0.4061104995356756,0.564446254357863,12922
Household production,2021-01-11,0.3853525528169014,0.6102013308853438,12922
Household production,2021-01-12,0.3843785614326987,0.605178463910512,12922
Household production,2021-01-13,0.3676389716504153,0.5546098932358263,12922
Household production,2021-01-14,0.35748940276273017,0.5340599784579858,12922
Household production,2021-01-15,0.34031679177629875,0.5040397671198765,12922
Household production,2021-01-16,0.33220358529381416,0.46700474490445704,12922
Household production,2021-01-17,0.35995432369860186,0.4607026168380895,12922
Household production,2021-01-18,0.3342464030980756,0.4819253656904694,12922
Household production,2021-01-19,0.3269586976990146,0.48483386582864835,12922
Household production,2021-01-20,0.32759246343445286,0.4818740223469669,12922
Household production,2021-01-21,0.3099846595599236,0.44856269967354245,12922
Household production,2021-01-22,0.31522896836145076,0.45113609815255096,12922
Household production,2021-01-23,0.33008692217407004,0.44475431330694953,12922
Household production,2021-01-24,0.3347856723675386,0.4327211328660427,12922
Household production,2021-01-25,0.32876804093793527,0.4739321736112815,12922
Household production,2021-01-26,0.32281587118867044,0.4678410119548259,12922
Household production,2021-01-27,0.31362457598153015,0.44628378359213905,12922
Household production,2021-01-28,0.2889203570783676,0.4061161156381232,12922
Household production,2021-01-29,0.2852688970360625,0.3957705344668563,12922
Household production,2021-01-30,0.30815831205179794,0.38480742138936264,12922
Household production,2021-01-31,0.320891106252902,0.3910295475209155,12922
Household production,2021-02-01,0.29874735109374195,0.4199453602493473,12922
Household production,2021-02-02,0.2876205341020482,0.4030865450205888,12922
Household production,2021-02-03,0.28227405135943867,0.39462502499083546,12922
Household production,2021-02-04,0.2861713179719341,0.3999897115911145,12922
Household production,2021-02-05,0.2896368402724036,0.41451023270432175,12922
Household production,2021-02-06,0.32253674343066946,0.4070120644512058,12922
Household production,2021-02-07,0.3240475083406421,0.40605887974214977,12922
Household production,2021-02-08,0.3084935370771638,0.44639385342485716,12922
Household production,2021-02-09,0.3109462689599133,0.446317391807669,12922
Household production,2021-02-10,0.3114547826488847,0.4592317495526479,12922
Household production,2021-02-11,0.29885093574266103,0.4423610456421048,12922
Household production,2021-02-12,0.3029144256565031,0.4267312855978864,12922
Household production,2021-02-13,0.29926797591102167,0.40014673685242896,12922
Household production,2021-02-14,0.2959612396601833,0.38666847284594613,12922
Household production,2021-02-15,0.291453374090698,0.4120530288289517,12922
Household production,2021-02-16,0.29095718434538853,0.4094315085151194,12922
Household production,2021-02-17,0.2828804558117938,0.40684708787728946,12922
Household production,2021-02-18,0.2785772439121911,0.3933376379035796,12922
Household production,2021-02-19,0.26682853316480076,0.3907229949112357,12922
Household production,2021-02-20,0.263437588673064,0.3587478378432929,12922
Household production,2021-02-21,0.28303956215928044,0.35918410204910534,12922
Household production,2021-02-22,0.29042683773581657,0.4225670713007975,12922
Household production,2021-02-23,0.2768549668738929,0.400138597737273,12922
Household production,2021-02-24,0.26629993475812136,0.3858832106947756,12922
Household production,2021-02-25,0.26707346321518854,0.38707789457871766,12922
Household production,2021-02-26,0.2690450056105866,0.3950284011320067,12922
Household production,2021-02-27,0.2786839788732394,0.37246392294272157,12922
Household production,2021-02-28,0.2989163544299988,0.3804398523430152,12922
Household production,2021-03-01,0.28506379623897227,0.41935578938979784,12922
Household production,2021-03-02,0.2744611176675437,0.3996498932261653,12922
Household production,2021-03-03,0.2672160146273508,0.3879832813261662,12921
Household production,2021-03-04,0.2642042095654642,0.3877880638328905,12918
Household production,2021-03-05,0.2731402387495484,0.4044324752873633,12918
Household production,2021-03-06,0.29247529651282844,0.3970288322226523,12914
Household production,2021-03-07,0.31240357477821656,0.40463195408666747,12913
Household production,2021-03-08,0.2976554989803557,0.4409833718524017,12913
Household production,2021-03-09,0.30864887451921835,0.4741050478317087,12913
Household production,2021-03-10,0.2946744190549961,0.44950956246838186,12910
Household production,2021-03-11,0.28468605247869866,0.4187647010304891,12910
Household production,2021-03-12,0.27814363992614394,0.4262779524592692,12908
Household production,2021-03-13,0.27666810840307915,0.404604810737976,12904
Household production,2021-03-14,0.3029106069608045,0.3977723054109891,12904
Household production,2021-03-15,0.29716186319718924,0.450315337591754,12903
Household production,2021-03-16,0.29150892880208734,0.4360234444934537,12903
Household production,2021-03-17,0.2836045445443505,0.4229141399006022,12901
Household production,2021-03-18,0.2873418217054263,0.44005623893111906,12900
Household production,2021-03-19,0.32024873678633275,0.4615487578755713,12897
Household production,2021-03-20,0.30030720360891366,0.4707031158955859,12894
Household production,2021-03-21,0.3081869199498474,0.4409974968963112,12894
Household production,2021-03-22,0.2955313501757923,0.4572606049763731,12894
Household production,2021-03-23,0.2833159043612016,0.42815651201492533,12894
Household production,2021-03-24,0.2828680291569692,0.41866933736443357,12890
Household production,2021-03-25,0.27323452695013445,0.40767036304484866,12888
Household production,2021-03-26,0.27557459296761844,0.41793639045147624,12888
Household production,2021-03-27,0.271015433835131,0.40092371721483205,12887
Household production,2021-03-28,0.2541130540143814,0.37704696723741793,12887
Household production,2021-03-29,0.25291999527948056,0.37148094559163397,12887
Household production,2021-03-30,0.24425647454799407,0.3528127117081463,12887
Household production,2021-03-31,0.23781921917843651,0.35104295445627726,12886
Household production,2021-04-01,0.23018144368565363,0.34389052582803076,12886
Household production,2021-04-02,0.2290815516839981,0.3498798058381175,12886
Household production,2021-04-03,0.23844211741424798,0.35704182003093715,12886
Household production,2021-04-04,0.24074005057167983,0.3589226521201263,12886
Household production,2021-04-05,0.2448407703450773,0.34512453643520324,12886
Household production,2021-04-06,0.2681304306353148,0.3766332248529389,12886
Household production,2021-04-07,0.2635776613633423,0.38523530311815346,12885
Household production,2021-04-08,0.25461315483119906,0.36955621773839015,12885
Household production,2021-04-09,0.253358733053917,0.3593700449778339,12884
Household production,2021-04-10,0.25578806077305183,0.363736635716776,12884
Household production,2021-04-11,0.2859693030973451,0.36670896670381986,12882
Household production,2021-04-12,0.26874357630802664,0.40100779057653124,12882
Household production,2021-04-13,0.27024285284527594,0.40224983856082386,12881
Household production,2021-04-14,0.26378190185041406,0.395598299908692,12880
Household production,2021-04-15,0.26599597473531617,0.41045255288429894,12877
