model,city,feature,mape_increase,importance_pct
N-BEATS v2,Donostia/San Sebastian,is_holiday_es,0.06883884340167716,2.200692369592501
N-BEATS v2,Donostia/San Sebastian,is_bridge_day,0.026103638193025837,0.8345009089533272
N-BEATS v2,Donostia/San Sebastian,sin_dow,0.6252264952301767,19.987714919780153
N-BEATS v2,Donostia/San Sebastian,cos_dow,1.0232323365555889,32.711467597425205
N-BEATS v2,Donostia/San Sebastian,sin_month,0.019563786120306802,0.625429956515654
N-BEATS v2,Donostia/San Sebastian,cos_month,0.03897085454133542,1.2458498427288602
N-BEATS v2,Donostia/San Sebastian,sin_week,0.026557651786379255,0.8490151599373843
N-BEATS v2,Donostia/San Sebastian,cos_week,0.3130047190480072,10.006372315642533
N-BEATS v2,Donostia/San Sebastian,lag_1d,0.043694760474966274,1.3968672513473335
N-BEATS v2,Donostia/San Sebastian,lag_7d,0.14909002191195997,4.7662229257622215
N-BEATS v2,Donostia/San Sebastian,lag_14d,0.13242656237354944,4.233512809713118
N-BEATS v2,Donostia/San Sebastian,lag_30d,-0.02779423590099306,0.0
N-BEATS v2,Donostia/San Sebastian,roll7_mean,0.05777884436005918,1.8471179297000948
N-BEATS v2,Donostia/San Sebastian,roll7_std,-0.02846962933953221,0.0
N-BEATS v2,Donostia/San Sebastian,roll30_mean,0.10018735486275285,3.2028653661363613
N-BEATS v2,Donostia/San Sebastian,roll7_ratio,0.0649460036324605,2.076243114595974
N-BEATS v2,Donostia/San Sebastian,wow_change,0.07209862332610784,2.3049034872079757
N-BEATS v2,Donostia/San Sebastian,dod_change,0.034119022185984525,1.090742785211061
Random Forest,Pamplona/Iruna,is_weekend,0.03200489705361838,0.33098669575830786
Random Forest,Pamplona/Iruna,is_holiday_es,0.0996813989104676,1.0308802680623321
Random Forest,Pamplona/Iruna,is_bridge_day,-1.0431667025656565e-05,0.0
Random Forest,Pamplona/Iruna,sin_dow,0.6359865182761737,6.577214601828021
Random Forest,Pamplona/Iruna,cos_dow,0.4811749133015618,4.976191436224866
Random Forest,Pamplona/Iruna,sin_month,0.0024281327119797247,0.025111145392981867
Random Forest,Pamplona/Iruna,cos_month,0.007075620264906757,0.07317430729424071
Random Forest,Pamplona/Iruna,sin_week,0.02003301014003389,0.20717641494781347
Random Forest,Pamplona/Iruna,cos_week,0.13260279596457902,1.371345179179917
Random Forest,Pamplona/Iruna,lag_1d,5.365087552552127,55.484402855546506
Random Forest,Pamplona/Iruna,lag_7d,2.0513899372074675,21.21496519393986
Random Forest,Pamplona/Iruna,lag_14d,0.08495537699192086,0.8785874071192551
Random Forest,Pamplona/Iruna,lag_30d,0.00580669486789862,0.06005139602175973
Random Forest,Pamplona/Iruna,roll7_mean,0.6083526531837766,6.291432032909267
Random Forest,Pamplona/Iruna,roll7_std,0.017625322881374306,0.18227671135470294
Random Forest,Pamplona/Iruna,roll30_mean,0.02244427645265281,0.23211313222798435
Random Forest,Pamplona/Iruna,roll7_ratio,0.04610231366372162,0.47677867673825686
Random Forest,Pamplona/Iruna,wow_change,0.02712950126675535,0.28056656351091075
