date,actual,N-BEATS v2 (covariate-conditioned),residual,z_residual,period,zscore_flag,iforest_flag,lof_flag,ocsvm_flag,kmeans_flag,ensemble_votes,ensemble_flag
2021-11-28,0.3225940791084986,0.29737183,0.025222249108498573,0.8018698650983717,post-COVID,0,0,0,1,1,2,0
2021-11-29,0.399957200587803,0.37696746,0.02298974058780301,0.6031942380599983,post-COVID,0,0,0,0,1,1,0
2021-11-30,0.3747200740876806,0.4051598,-0.030439725912319415,-1.1987093424316906,post-COVID,0,0,0,0,0,0,0
2021-12-01,0.4003653257408768,0.36701918,0.0333461457408768,1.015834467461975,post-COVID,0,0,0,0,1,1,0
2021-12-02,0.3976130296350721,0.3829196,0.014693429635072086,0.37038690749886516,post-COVID,0,0,0,0,1,1,0
2021-12-03,0.3813359662013225,0.3732219,0.00811406620132249,0.1452957109863395,post-COVID,0,0,0,0,1,1,0
2021-12-04,0.2825182157727161,0.31952745,-0.037009234227283916,-1.3939009572332226,post-COVID,0,0,0,1,0,1,0
2021-12-05,0.2649407298554984,0.28244764,-0.01750691014450162,-0.7384548174693215,post-COVID,0,0,0,1,0,1,0
2021-12-06,0.2703908890521675,0.33672708,-0.0663361909478325,-2.4256825176820804,post-COVID,0,1,0,0,0,1,0
2021-12-07,0.3076339395052657,0.3049934,0.00264053950526566,-0.08145708419570294,post-COVID,0,0,1,1,0,2,0
2021-12-08,0.2996460323291697,0.31605932,-0.01641328767083028,-0.6852772003336178,post-COVID,0,0,0,0,0,0,0
2021-12-09,0.4116233161890766,0.32237858,0.08924473618907658,2.8691215140961437,post-COVID,0,1,1,1,1,4,1
2021-12-10,0.3844280859662012,0.39113137,-0.006703284033798773,-0.2735624136948919,post-COVID,0,1,1,1,1,4,1
2021-12-11,0.2937801861376438,0.31902897,-0.02524878386235624,-0.8158521084875556,post-COVID,0,0,1,0,0,1,0
2021-12-12,0.2763455792309576,0.28003475,-0.0036891707690424047,-0.14326299725909883,post-COVID,0,0,1,1,0,2,0
2021-12-13,0.3811192138133724,0.32417274,0.05694647381337237,1.7622575861920615,post-COVID,0,1,1,0,1,3,1
2021-12-14,0.399946607886358,0.38350627,0.016440337886358014,0.561484372679265,post-COVID,0,0,0,1,1,2,0
2021-12-15,0.3982257837374479,0.39428392,0.0039418637374478704,0.2367409417914045,post-COVID,0,0,0,1,1,2,0
2021-12-16,0.4002214976732794,0.4020967,-0.0018752023267205598,0.05332236236749684,post-COVID,0,0,1,0,1,2,0
2021-12-17,0.389027767572863,0.38506737,0.003960397572862984,0.28705794958732866,post-COVID,0,0,0,0,0,0,0
2021-12-18,0.3178237509184423,0.3328656,-0.015041849081557701,-0.27480042370837043,post-COVID,0,0,0,0,0,0,0
2021-12-19,0.307639664462405,0.29589978,0.011739884462404981,0.5604886003095743,post-COVID,0,0,0,0,0,0,0
2021-12-20,0.4154691097232427,0.36451283,0.05095627972324268,1.7802965044832186,post-COVID,0,0,0,1,1,2,0
2021-12-21,0.4057702057310801,0.426323,-0.020552794268919927,-0.49561067976193557,post-COVID,0,0,0,1,0,1,0
2021-12-22,0.3854830394317903,0.38437006,0.0011129794317902841,0.13767737052087708,post-COVID,0,0,0,0,0,0,0
2021-12-23,0.3728325067352436,0.38478726,-0.011954753264756424,-0.266735232592291,post-COVID,0,0,0,0,0,0,0
2021-12-24,0.3132443668870928,0.36464876,-0.05140439311290723,-1.6264426316832539,post-COVID,0,0,0,0,0,0,0
2021-12-25,0.2613353232916973,0.28306395,-0.021728626708302723,-0.6544860243155135,post-COVID,0,0,0,0,0,0,0
2021-12-26,0.2697972691648297,0.2472861,0.022511169164829703,1.0767773553892643,post-COVID,0,0,0,0,1,1,0
2021-12-27,0.3107513776634827,0.33639556,-0.025644182336517274,-0.8862494928799091,post-COVID,0,0,0,0,0,0,0
2021-12-28,0.299376010286554,0.34806708,-0.048691069713446,-1.7562321187268424,post-COVID,0,0,0,0,0,0,0
2021-12-29,0.2909300759245652,0.32256085,-0.0316307740754348,-1.1535987375280585,post-COVID,0,0,0,1,0,1,0
2021-12-30,0.2886036921381337,0.3116039,-0.023000207861866295,-0.7924165579877912,post-COVID,0,0,0,0,0,0,0
2021-12-31,0.2777813188831741,0.29368636,-0.01590504111682589,-0.5258712939621834,post-COVID,0,0,0,1,0,1,0
2022-01-01,0.2425230529022776,0.25750577,-0.01498271709772242,-0.4967973798799651,post-COVID,0,0,0,0,0,0,0
2022-01-02,0.2472799718344354,0.23730738,0.009972591834435385,0.49866111112841,post-COVID,0,0,0,1,0,1,0
2022-01-03,0.2992724099926524,0.3023714,-0.0030989900073475907,-0.09967560610932436,post-COVID,0,0,0,0,0,0,0
2022-01-04,0.3050226549106049,0.3198023,-0.01477964508939511,-0.5167384862320611,post-COVID,0,0,0,0,0,0,0
2022-01-05,0.3120945077149155,0.31651914,-0.0044246322850844955,-0.1379910172484961,post-COVID,0,0,0,0,0,0,0
2022-01-06,0.2869992652461425,0.31839472,-0.03139545475385752,-1.1635418041068386,post-COVID,0,0,0,0,0,0,0
2022-01-07,0.3101456649522409,0.29263496,0.017510704952240885,0.6218616852868184,post-COVID,0,0,0,0,0,0,0
2022-01-08,0.2737488672544697,0.2730663,0.0006825672544696904,0.01589799967409551,post-COVID,0,0,0,0,0,0,0
2022-01-09,0.2975962221405828,0.26616848,0.031427742140582804,1.146783697676583,post-COVID,0,0,0,0,1,1,0
2022-01-10,0.3782768491305412,0.33451334,0.04376350913054122,1.5695794331705955,post-COVID,0,0,0,0,1,1,0
2022-01-11,0.3631985060004898,0.37002847,-0.006829963999510191,-0.37154195018177205,post-COVID,0,0,0,0,0,0,0
2022-01-12,0.3650106539309331,0.35225764,0.012753013930933144,0.33512476974310446,post-COVID,0,0,0,0,1,1,0
2022-01-13,0.3832526022532451,0.34213713,0.04111547225324508,1.4878938410446247,post-COVID,0,0,0,0,1,1,0
2022-01-14,0.3728983896644623,0.3517955,0.021102889664462332,0.6027744250589152,post-COVID,0,0,0,0,1,1,0
2022-01-15,0.3184824577516532,0.31456184,0.003920617751653199,-0.15611575428658653,post-COVID,0,0,0,0,0,0,0
2022-01-16,0.2952165686994856,0.30621597,-0.010999401300514411,-0.8489056534995735,post-COVID,0,0,0,1,0,1,0
2022-01-17,0.3992365907421014,0.34061933,0.058617260742101385,2.179439844653759,post-COVID,0,1,0,0,1,2,0
2022-01-18,0.405690576781778,0.39717382,0.00851675678177799,-0.030047462069047227,post-COVID,0,0,0,1,1,2,0
2022-01-19,0.4179996938525593,0.37339658,0.04460311385255933,1.566912122628166,post-COVID,0,0,0,0,1,1,0
2022-01-20,0.3959163605192261,0.39209613,0.0038202305192260866,-0.2494751938628987,post-COVID,0,0,0,0,1,1,0
2022-01-21,0.3798817964731814,0.3664551,0.013426696473181399,0.17087142142957265,post-COVID,0,0,0,0,1,1,0
2022-01-22,0.3089344538329659,0.33077794,-0.021843486167034076,-1.4064324275017401,post-COVID,0,0,0,0,0,0,0
2022-01-23,0.3051501040901297,0.30378965,0.0013604540901296924,-0.33238660951960813,post-COVID,0,0,0,0,0,0,0
2022-01-24,0.3945195628214548,0.36896518,0.02555438282145478,0.6513220987130699,post-COVID,0,0,0,1,1,2,0
2022-01-25,0.3939231876071516,0.40052393,-0.006600742392848358,-0.5670644389155268,post-COVID,0,0,0,0,0,0,0
2022-01-26,0.4014618846436443,0.3758512,0.0256106846436443,0.8055357417540912,post-COVID,0,0,0,0,1,1,0
2022-01-27,0.4029268919911828,0.38377577,0.019151121991182796,0.530355602810734,post-COVID,0,0,0,0,1,1,0
2022-01-28,0.3873728569679157,0.38236672,0.005006136967915686,-0.03737896514739914,post-COVID,0,0,0,0,0,0,0
2022-01-29,0.3047391623806024,0.33813775,-0.033398587619397624,-1.5457767632673383,post-COVID,0,0,0,1,0,1,0
2022-01-30,0.2979406992407543,0.29993066,-0.0019899607592457347,-0.23211622711923519,post-COVID,0,0,0,0,0,0,0
2022-01-31,0.3984586088660298,0.36140376,0.03705484886602978,1.313138545239696,post-COVID,0,0,0,0,1,1,0
2022-02-01,0.3987810739652216,0.40254444,-0.0037633660347783926,-0.3447823049329962,post-COVID,0,0,0,0,0,0,0
2022-02-02,0.3936638807249571,0.39874613,-0.0050822492750428605,-0.3491170120496902,post-COVID,0,0,0,0,0,0,0
2022-02-03,0.3787267327945137,0.3852406,-0.006513867205486301,-0.36911904069786805,post-COVID,0,0,0,0,0,0,0
2022-02-04,0.3689180443301493,0.36691117,0.0020068743301492886,0.0649026689403096,post-COVID,0,0,0,0,0,0,0
2022-02-05,0.2919328312515307,0.32435697,-0.03242413874846933,-1.5485360403157609,post-COVID,0,0,0,0,0,0,0
2022-02-06,0.2853444771001714,0.29066062,-0.005316142899828569,-0.2654302370121735,post-COVID,0,0,0,0,0,0,0
2022-02-07,0.4018370683321087,0.35609594,0.045741128332108694,2.122890827497929,post-COVID,0,0,0,0,1,1,0
2022-02-08,0.3620358498652951,0.40896782,-0.0469319701347049,-2.274849700487675,post-COVID,0,0,0,0,0,0,0
2022-02-09,0.3491909135439627,0.36231017,-0.013119256456037287,-0.6487810930601585,post-COVID,0,0,0,0,0,0,0
2022-02-10,0.3461306637276512,0.3421103,0.004020363727651244,0.11552677991743006,post-COVID,0,0,0,0,0,0,0
2022-02-11,0.3456920156747489,0.34076247,0.004929545674748903,0.2303821744935856,post-COVID,0,0,0,0,0,0,0
2022-02-12,0.2766901175606172,0.29985914,-0.023169022439382847,-1.0683839338972072,post-COVID,0,0,0,0,0,0,0
2022-02-13,0.2793123928483957,0.2646481,0.01466429284839571,0.746936968222409,post-COVID,0,0,0,0,0,0,0
2022-02-14,0.3798397012000979,0.34310463,0.03673507120009789,1.8294619251243112,post-COVID,0,0,0,1,1,2,0
2022-02-15,0.3638220364927749,0.37264323,-0.0088211935072251,-0.4175934420932101,post-COVID,0,0,0,0,0,0,0
2022-02-16,0.3522827271614009,0.35298696,-0.0007042328385991059,-0.02395804673125126,post-COVID,0,0,0,0,0,0,0
2022-02-17,0.323947128337007,0.34180212,-0.01785499166299298,-0.8836555067611163,post-COVID,0,0,0,0,0,0,0
2022-02-18,0.3298866642174871,0.32264856,0.007238104217487107,0.3043954724102995,post-COVID,0,0,0,0,0,0,0
2022-02-19,0.2838630296350722,0.28370377,0.00015925963507218421,-0.03358082011227931,post-COVID,0,0,0,0,0,0,0
2022-02-20,0.2755906808719078,0.2682342,0.007356480871907822,0.27650903931867343,post-COVID,0,0,0,0,0,0,0
2022-02-21,0.3520525042860641,0.339197,0.012855504286064079,0.448187375232922,post-COVID,0,0,0,0,1,1,0
2022-02-22,0.3412693485182463,0.35519573,-0.01392638148175368,-0.8173925226116645,post-COVID,0,0,0,0,0,0,0
2022-02-23,0.3354336272348763,0.33221626,0.0032173672348763116,0.05281674381985339,post-COVID,0,0,0,0,0,0,0
2022-02-24,0.3565350691893215,0.32275733,0.033777739189321476,1.7433040085193399,post-COVID,0,0,0,0,1,1,0
2022-02-25,0.323441036002939,0.343128,-0.01968696399706099,-1.3315156551977625,post-COVID,0,0,0,0,0,0,0
2022-02-26,0.2679624969385255,0.2740455,-0.006083003061474523,-0.4941821187373542,post-COVID,0,0,0,0,0,0,0
2022-02-27,0.2595975691893215,0.25918022,0.0004173491893214587,-0.12379596961676394,post-COVID,0,0,0,0,0,0,0
2022-02-28,0.3142294268919911,0.31416515,6.427689199112185e-05,-0.2507445034327876,post-COVID,0,0,0,0,0,0,0
2022-03-01,0.3063408339456282,0.32407245,-0.01773161605437179,-1.1398950950228608,post-COVID,0,0,0,0,0,0,0
2022-03-02,0.3510572801861376,0.30946302,0.0415942601861376,2.2237700039105612,post-COVID,0,0,0,0,1,1,0
2022-03-03,0.3596543595395542,0.33694774,0.022706619539554218,1.1023475453217635,post-COVID,0,0,0,0,1,1,0
2022-03-04,0.3377852069556698,0.33703375,0.0007514569556698047,-0.16736060207357334,post-COVID,0,0,0,0,0,0,0
2022-03-05,0.2729271369091354,0.27952307,-0.006595933090864592,-0.5277305649717534,post-COVID,0,0,0,0,0,0,0
2022-03-06,0.2826967609600783,0.2621026,0.020594160960078267,0.9561111929753404,post-COVID,0,0,0,0,1,1,0
2022-03-07,0.3626211119275042,0.3337257,0.028895411927504167,1.3465537859246575,post-COVID,0,0,0,0,1,1,0
2022-03-08,0.3418474161156012,0.3557616,-0.0139141838843988,-0.9051092476826609,post-COVID,0,0,0,0,0,0,0
