user,cluster_id,archetype_type,avg_fs,avg_log_kurtosis,avg_extreme_ratio,post_trend_slope
0404ede7d74c0013bd34835d0017aa706d0bb058719862801f451915d0c8c633,1,B,0.4459,3.0355,0.0271,4e-06
041c7eb9aec6486f974a4624d301f11086b71bddf15d4ec7ae2739202c71be39,1,B,0.4893,2.4714,0.0261,3e-06
041e258c968f16148024ff78918d25850380fbd4110fbd9c9eefa7f698713580,2,C,0.6532,3.4462,0.0127,-1e-06
042a27009ebae37bcd813f317fc42b6c14cff62c935fd3d2ab2f4b1000213d8d,2,C,0.3793,3.8997,0.0181,-2e-06
042f584220fd7387299fb03991e092790ad6044eb11989c3bc6bd3b106f8ffbe,0,A,0.8874,3.6387,0.0234,3e-06
042fc449933d2649845f1d29220a2b72e7189b0dd9e833d4ada37a5fcb4f7bf3,0,A,0.6432,3.8839,0.0218,1.9e-05
043164d9f3c17e43922900f66807a0b554a425bb43380219ff11adcdc360b8c9,1,B,0.4555,3.4391,0.0223,-5e-06
04388258969942e24450bae111a4cc7d8708c4546873020cfb00e30022a76f94,2,C,0.5132,5.4705,0.008,0.0
043cf93349c8789242680f22dd1659b194ec9cee6ef52e5e7971f071a41cdec6,0,A,0.7188,2.2464,0.0195,2e-06
0445eea6e00590761a328441b19fb51ee11486da86f0a6780e6156c6b01c2aa9,1,B,0.6289,2.2321,0.0183,5e-06
04473d6ec8c6f72a54383a30b4091d78b7d02a181829a3d6c669853eeb083027,1,B,0.4267,3.5762,0.0233,2e-06
0456f44cfb5500e0ef233da6d21a48cff2002339a359b3669ea2e93710557ccb,1,B,0.5051,2.3954,0.0202,2e-06
04573705d73f54544124fdb73799f28cadcb3cbc4f191fcd96cefa4c9f21f36b,1,B,0.4602,3.0343,0.0252,4e-06
0463b1090718ee1bbc29151d05c65e634e6d876a484fe562fef3ec948e4bfcf5,1,B,0.6353,2.1183,0.0142,1.1e-05
046506da5fe4625b3bdded39349d1eb4b1910d025077be177a2bbb66b7bf28c2,1,B,0.4727,2.6379,0.0168,0.0
04667cde752d28549113a52e8102f3dac1fb70bc44e38dd6cdb14bbd066413e1,1,B,0.4654,2.6082,0.0255,9e-06
04674a1f331b6dd604fc3b10190d7012e7641a09f8fc1607aa3c3cee9acd3056,1,B,0.4889,3.7109,0.0233,-3.5e-05
046d528b953cc7f3828f6f2ea8ef0284765c49e7927ca6a2ec361853309fce1d,1,B,0.4809,3.1658,0.0217,-1e-06
046dfd111f88e4af179871f6f7480504e8ed02b4e9057bf6cf295e1b3a3593a5,2,C,0.3117,5.9524,0.0095,1e-06
04729d9551971cd5a17d0d665c17ab904757ba71d210bb4755ed1f8eea9da10a,1,B,0.4714,2.744,0.0233,6e-06
047b2b0211028513d0ae7c134f2ba7e37a92bec728009c0dbb31b917c2f8e298,1,B,0.533,2.5665,0.0221,-1.8e-05
047ddbff6ba007d14f4f20ce2bee505e1b699e3fb3a6e7f4e9d94039e3fcf84b,2,C,0.4442,4.3177,0.0186,-0.0
04830c0b37e7115eb96447fa5aebf1280a43b06f7c04097edfcf1cb7742f4666,1,B,0.3939,2.3497,0.0181,1.3e-05
04966909db4575a2e77d6017713027e127e4d206cb16222004d579a5cbd20485,0,A,0.7419,2.4475,0.0234,1.5e-05
049b25031affbdafb2178f1a4cad7eb90a0570d2cec857e51d101a7f64afa80b,1,B,0.5379,2.7802,0.033,1.3e-05
049cffdef05a405fa4e3f3b6057d8812c39ef072aa7314a9a93a09f91625419b,1,B,0.5789,3.6315,0.0254,-1.7e-05
049f79c26065bac1c4db494716053cb8887a1caabd7355a93ebe7ccf4dbe56a3,1,B,0.5216,3.0255,0.0237,5e-06
04a26115a2aa295c751e1a1e2b81b28b40f478d8f7d9d7a8fdbe90fd4be65a06,1,B,0.4588,2.6263,0.0238,4e-06
04a4744ac0bf6ab2a57de4e24278706f612fb8f4ac0399492c7aa5fcaa4babe9,1,B,0.5098,2.9779,0.0209,2e-06
04a6d189107f2908aafeba2fafba115e0d867f456cdac1e7c43c931e2e362b33,1,B,0.3893,3.4964,0.0229,2e-06
04b168379a4be75a1b078083f6c1d1fc5587d90d8612e3617604bad56199cda0,2,C,0.3153,3.2208,0.0148,-5e-06
04c60f9b3f11eaec322989bdede35626cc6d894119fa27bc20386ca505977ab3,0,A,0.8124,1.9338,0.0205,-1.8e-05
04cee6c7b0a312b2171072e7c10383937d394c2aac23ab8f334d3391f14461d5,1,B,0.5059,2.2331,0.0156,1.9e-05
04cf364fbadb0517a276c40141c89f7bf1270cb66d560a987c86606650cf2038,1,B,0.394,2.7725,0.0314,-3.4e-05
04e24e7bf5b0bdbaaaf4d3529140ddbdba8c40fc3c43775b9913a20b8d0d1717,2,C,0.3646,5.1346,0.0169,-1e-06
04e63e6208da09be59ed97ac0a4851903447a771d78508f35cc192068849dde9,1,B,0.4422,2.9319,0.0251,-1.1e-05
04ebe3db1e73e4bd9208f0a030db381fba439fbdf2d90ffc2c5e014fac87bda1,0,A,0.7217,2.6785,0.0266,6.4e-05
04fdc55f802db4e26e0681e149ca0c654ad4125df5348e10315ec81d33966b5b,1,B,0.2699,3.4496,0.0265,-0.0
04ffc3374099ff8ebc8d51bd2056ca85e29d00290a6276f0964850b6532f53d1,2,C,0.3993,4.6699,0.0131,0.0
050efc9a8c724c891d8b66e5de161fe40137822de7ca064f186d626b82c06ffe,2,C,0.4834,4.2024,0.0189,-0.0
0512f0958b0107c6a13ad3e72700e4c724c7b46348e864dc92d368f45064136f,1,B,0.4622,3.0556,0.0245,9e-06
05153a8ebc08dd399a201497f175b9ae880f2bdcbac085b4dc39c73e02fbb056,1,B,0.5631,2.9926,0.0283,2e-06
0518cf9feddaaf82c856ddcee84b0a3107d0163acedb1d25461da8b752254662,1,B,0.5365,2.6291,0.0244,-3e-06
051c162077d1278699e05a191bb98cf71201e3062546d770affcddda1914447a,1,B,0.4048,3.384,0.0201,-3.6e-05
051fa9da730497e59c0e822581b67264212a62512186d436973571f6da69de4a,1,B,0.3788,3.7978,0.0233,-3e-06
0524459d2736fc25975714d212823dbbd60426a902aa87bc1fde761cdd308bbf,1,B,0.3363,3.1174,0.0255,-4e-06
0526ed4820b4443be1cc7a08a03af0d57e8bbd947adbe57a5163d0c9992c5aaa,1,B,0.5269,2.4741,0.024,3e-06
05331b9ae7ac889e90eb2609ac2e17b180681c798d513299234504e7f9fe4c63,0,A,0.6752,2.4534,0.0214,2e-06
0535af1fc8d7983cd1787d082dc2ad266abba63f0c8c2423868563285543015c,1,B,0.507,3.0511,0.0229,1.8e-05
053662f5fa9135c5d87888b234f2faecbb8713bde11250285d9bf0e33871ebe1,2,C,0.4173,4.1597,0.0198,1.8e-05
053bd2ca7075f4e22e24ba1159e1456be4d28677ea66e66bb14887b353b44220,1,B,0.3321,3.6605,0.0265,1e-06
056b80ff29fa502710cbfd31c88a822dd780c10d8cd03711dd0a67daf165ee3f,1,B,0.4535,3.0462,0.0263,-3e-06
0572572099686565e485ef6ba78e589ce0de574ac35e6823aec57ef52c5e6f03,1,B,0.57,4.1209,0.0226,-2e-06
057f86636d0de4e1b1eeaa02635a3a19f3cb533945a27e1ff094ed6c80627f60,1,B,0.476,2.3275,0.0178,0.0
057fb7d3a72e5aebfad4c89f800f270c407560db1581b583966d7c9ce3d969e4,1,B,0.4674,2.4313,0.0239,-1e-06
0585de894d6dc2b0697ccc330d31b813ccbbe289c4b2895c6df1f1e2022824f9,1,B,0.4792,2.8819,0.0253,3e-06
0593ec95e428e36ff0fdfc52c339c03221bfd17606bfb016f0b5b816546257af,0,A,0.9561,3.0377,0.0252,4.6e-05
059645e2045d89b934973d05c4f8d13ba2dbb0283859c5f6dffcd1cb5d02b3c7,1,B,0.4856,2.3382,0.0226,2e-06
059820c355ae22e47eeb2255202ea1d4d5066115696cae26dadc14df6af20436,1,B,0.6052,2.3327,0.0205,6e-06
059ac9818c52e20ad8ba2d21bea223443eaaf18745071fde21f46c0d020c614b,1,B,0.3873,3.4946,0.0236,5e-06
059c3f3649a342bd5d83cbc85358e981c9a9c02b5cb99cca9ce25374d40c0f5d,0,A,0.6566,2.9085,0.0254,2.5e-05
05a080dc4bb8f442464d9b3146484b2d9f251d12ef433ec156e1ca4bf7f54214,1,B,0.4421,3.1596,0.0248,-2e-06
05abfae4272d2fb38bbad83bd5ac439c555b1589e0b709fdc7e945f98f9616c8,1,B,0.6139,2.0699,0.0188,4e-06
05aec93448cc9d4c3967de69898f3a200bc225ce05cb7a1e470a3e8a1fae09dc,1,B,0.4325,3.9804,0.0225,-1.6e-05
